Entity,Code,Day,total_vaccinations_per_hundred
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,0.02
Afghanistan,AFG,2021-03-16,0.14
Afghanistan,AFG,2021-04-07,0.3
Afghanistan,AFG,2021-04-22,0.6
Afghanistan,AFG,2021-05-11,1.27
Afghanistan,AFG,2021-05-20,1.38
Afghanistan,AFG,2021-05-24,1.44
Afghanistan,AFG,2021-05-26,1.48
Afghanistan,AFG,2021-05-27,1.49
Afghanistan,AFG,2021-05-30,1.51
Afghanistan,AFG,2021-06-02,1.57
Afghanistan,AFG,2021-06-03,1.58
Afghanistan,AFG,2021-06-08,1.61
Afghanistan,AFG,2021-06-14,1.66
Afghanistan,AFG,2021-06-22,1.92
Afghanistan,AFG,2021-06-27,2.1
Afghanistan,AFG,2021-06-30,2.23
Afghanistan,AFG,2021-07-05,2.3
Afghanistan,AFG,2021-07-07,2.35
Afghanistan,AFG,2021-07-11,2.42
Afghanistan,AFG,2021-07-14,2.57
Afghanistan,AFG,2021-07-18,2.75
Afghanistan,AFG,2021-07-24,2.94
Afghanistan,AFG,2021-08-20,3.02
Afghanistan,AFG,2021-08-31,4.97
Afghanistan,AFG,2021-09-30,5.95
Afghanistan,AFG,2021-11-14,10.09
Afghanistan,AFG,2021-12-27,11.73
Afghanistan,AFG,2022-01-09,12.31
Afghanistan,AFG,2022-01-11,12.36
Afghanistan,AFG,2022-01-13,12.44
Afghanistan,AFG,2022-01-17,12.51
Afghanistan,AFG,2022-01-19,12.56
Africa,,2021-01-09,0
Africa,,2021-01-13,0
Africa,,2021-01-15,0
Africa,,2021-01-16,0
Africa,,2021-01-19,0
Africa,,2021-01-20,0
Africa,,2021-01-22,0
Africa,,2021-01-23,0
Africa,,2021-01-24,0
Africa,,2021-01-25,0
Africa,,2021-01-26,0
Africa,,2021-01-27,0
Africa,,2021-01-28,0
Africa,,2021-01-29,0
Africa,,2021-01-30,0.01
Africa,,2021-01-31,0.01
Africa,,2021-02-01,0.02
Africa,,2021-02-02,0.02
Africa,,2021-02-03,0.03
Africa,,2021-02-04,0.03
Africa,,2021-02-05,0.03
Africa,,2021-02-06,0.04
Africa,,2021-02-08,0.04
Africa,,2021-02-09,0.05
Africa,,2021-02-10,0.06
Africa,,2021-02-11,0.07
Africa,,2021-02-12,0.08
Africa,,2021-02-13,0.11
Africa,,2021-02-15,0.13
Africa,,2021-02-16,0.14
Africa,,2021-02-17,0.16
Africa,,2021-02-18,0.17
Africa,,2021-02-19,0.18
Africa,,2021-02-20,0.19
Africa,,2021-02-21,0.19
Africa,,2021-02-22,0.2
Africa,,2021-02-23,0.21
Africa,,2021-02-24,0.23
Africa,,2021-02-25,0.25
Africa,,2021-02-26,0.27
Africa,,2021-02-27,0.28
Africa,,2021-02-28,0.28
Africa,,2021-03-01,0.3
Africa,,2021-03-02,0.31
Africa,,2021-03-03,0.32
Africa,,2021-03-04,0.33
Africa,,2021-03-05,0.35
Africa,,2021-03-06,0.37
Africa,,2021-03-07,0.37
Africa,,2021-03-08,0.39
Africa,,2021-03-09,0.4
Africa,,2021-03-10,0.43
Africa,,2021-03-11,0.44
Africa,,2021-03-12,0.46
Africa,,2021-03-13,0.49
Africa,,2021-03-14,0.5
Africa,,2021-03-15,0.52
Africa,,2021-03-16,0.54
Africa,,2021-03-17,0.56
Africa,,2021-03-18,0.57
Africa,,2021-03-19,0.59
Africa,,2021-03-20,0.6
Africa,,2021-03-21,0.6
Africa,,2021-03-22,0.61
Africa,,2021-03-23,0.62
Africa,,2021-03-24,0.69
Africa,,2021-03-25,0.71
Africa,,2021-03-26,0.73
Africa,,2021-03-27,0.75
Africa,,2021-03-28,0.77
Africa,,2021-03-29,0.78
Africa,,2021-03-30,0.8
Africa,,2021-03-31,0.84
Africa,,2021-04-01,0.85
Africa,,2021-04-02,0.87
Africa,,2021-04-03,0.88
Africa,,2021-04-04,0.88
Africa,,2021-04-05,0.89
Africa,,2021-04-06,0.92
Africa,,2021-04-07,0.94
Africa,,2021-04-08,1
Africa,,2021-04-09,1.01
Africa,,2021-04-10,1.02
Africa,,2021-04-11,1.03
Africa,,2021-04-12,1.04
Africa,,2021-04-13,1.05
Africa,,2021-04-14,1.07
Africa,,2021-04-15,1.08
Africa,,2021-04-16,1.1
Africa,,2021-04-17,1.12
Africa,,2021-04-18,1.16
Africa,,2021-04-19,1.18
Africa,,2021-04-20,1.19
Africa,,2021-04-21,1.2
Africa,,2021-04-22,1.21
Africa,,2021-04-23,1.22
Africa,,2021-04-24,1.23
Africa,,2021-04-25,1.24
Africa,,2021-04-26,1.24
Africa,,2021-04-27,1.25
Africa,,2021-04-28,1.33
Africa,,2021-04-29,1.34
Africa,,2021-04-30,1.35
Africa,,2021-05-01,1.36
Africa,,2021-05-02,1.36
Africa,,2021-05-03,1.38
Africa,,2021-05-04,1.4
Africa,,2021-05-05,1.42
Africa,,2021-05-06,1.43
Africa,,2021-05-07,1.47
Africa,,2021-05-08,1.49
Africa,,2021-05-09,1.54
Africa,,2021-05-10,1.58
Africa,,2021-05-11,1.61
Africa,,2021-05-12,1.69
Africa,,2021-05-13,1.7
Africa,,2021-05-14,1.71
Africa,,2021-05-15,1.74
Africa,,2021-05-16,1.74
Africa,,2021-05-17,1.78
Africa,,2021-05-18,1.83
Africa,,2021-05-19,1.88
Africa,,2021-05-20,1.91
Africa,,2021-05-21,1.97
Africa,,2021-05-22,2.03
Africa,,2021-05-23,2.04
Africa,,2021-05-24,2.08
Africa,,2021-05-25,2.13
Africa,,2021-05-26,2.16
Africa,,2021-05-27,2.18
Africa,,2021-05-28,2.19
Africa,,2021-05-29,2.23
Africa,,2021-05-30,2.26
Africa,,2021-05-31,2.4
Africa,,2021-06-01,2.46
Africa,,2021-06-02,2.5
Africa,,2021-06-03,2.53
Africa,,2021-06-04,2.55
Africa,,2021-06-05,2.57
Africa,,2021-06-06,2.58
Africa,,2021-06-07,2.63
Africa,,2021-06-08,2.71
Africa,,2021-06-09,2.78
Africa,,2021-06-10,2.83
Africa,,2021-06-11,2.85
Africa,,2021-06-12,2.88
Africa,,2021-06-13,2.88
Africa,,2021-06-14,2.95
Africa,,2021-06-15,3.02
Africa,,2021-06-16,3.04
Africa,,2021-06-17,3.07
Africa,,2021-06-18,3.1
Africa,,2021-06-19,3.11
Africa,,2021-06-20,3.15
Africa,,2021-06-21,3.21
Africa,,2021-06-22,3.22
Africa,,2021-06-23,3.26
Africa,,2021-06-24,3.36
Africa,,2021-06-25,3.39
Africa,,2021-06-26,3.4
Africa,,2021-06-27,3.42
Africa,,2021-06-28,3.49
Africa,,2021-06-29,3.51
Africa,,2021-06-30,3.54
Africa,,2021-07-01,3.57
Africa,,2021-07-02,3.59
Africa,,2021-07-03,3.61
Africa,,2021-07-04,3.63
Africa,,2021-07-05,3.71
Africa,,2021-07-06,3.74
Africa,,2021-07-07,3.76
Africa,,2021-07-08,3.8
Africa,,2021-07-09,3.83
Africa,,2021-07-10,3.83
Africa,,2021-07-11,3.84
Africa,,2021-07-12,3.96
Africa,,2021-07-13,4
Africa,,2021-07-14,4.02
Africa,,2021-07-15,4.11
Africa,,2021-07-16,4.12
Africa,,2021-07-17,4.14
Africa,,2021-07-18,4.15
Africa,,2021-07-19,4.25
Africa,,2021-07-20,4.28
Africa,,2021-07-21,4.28
Africa,,2021-07-22,4.36
Africa,,2021-07-23,4.39
Africa,,2021-07-24,4.4
Africa,,2021-07-25,4.45
Africa,,2021-07-26,4.52
Africa,,2021-07-27,4.59
Africa,,2021-07-28,4.64
Africa,,2021-07-29,4.72
Africa,,2021-07-30,4.75
Africa,,2021-07-31,4.76
Africa,,2021-08-01,4.81
Africa,,2021-08-02,4.87
Africa,,2021-08-03,5.03
Africa,,2021-08-04,5.06
Africa,,2021-08-05,5.13
Africa,,2021-08-06,5.16
Africa,,2021-08-07,5.19
Africa,,2021-08-08,5.24
Africa,,2021-08-09,5.37
Africa,,2021-08-10,5.42
Africa,,2021-08-11,5.46
Africa,,2021-08-12,5.57
Africa,,2021-08-13,5.64
Africa,,2021-08-14,5.66
Africa,,2021-08-15,5.68
Africa,,2021-08-16,5.87
Africa,,2021-08-17,5.93
Africa,,2021-08-18,6.03
Africa,,2021-08-19,6.16
Africa,,2021-08-20,6.55
Africa,,2021-08-21,6.58
Africa,,2021-08-22,6.63
Africa,,2021-08-23,6.71
Africa,,2021-08-24,6.79
Africa,,2021-08-25,7.01
Africa,,2021-08-26,7.02
Africa,,2021-08-27,7.25
Africa,,2021-08-28,7.3
Africa,,2021-08-29,7.4
Africa,,2021-08-30,7.44
Africa,,2021-08-31,7.54
Africa,,2021-09-01,7.7
Africa,,2021-09-02,7.73
Africa,,2021-09-03,7.78
Africa,,2021-09-04,8.1
Africa,,2021-09-05,8.27
Africa,,2021-09-06,8.39
Africa,,2021-09-07,8.43
Africa,,2021-09-08,8.48
Africa,,2021-09-09,8.59
Africa,,2021-09-10,8.67
Africa,,2021-09-11,8.8
Africa,,2021-09-12,9.01
Africa,,2021-09-13,9.05
Africa,,2021-09-14,9.26
Africa,,2021-09-15,9.36
Africa,,2021-09-16,9.48
Africa,,2021-09-17,9.51
Africa,,2021-09-18,9.55
Africa,,2021-09-19,9.75
Africa,,2021-09-20,9.82
Africa,,2021-09-21,9.87
Africa,,2021-09-22,10.06
Africa,,2021-09-23,10.27
Africa,,2021-09-24,10.3
Africa,,2021-09-25,10.39
Africa,,2021-09-26,10.46
Africa,,2021-09-27,10.66
Africa,,2021-09-28,10.74
Africa,,2021-09-29,10.77
Africa,,2021-09-30,10.9
Africa,,2021-10-01,10.94
Africa,,2021-10-02,11.02
Africa,,2021-10-03,11.06
Africa,,2021-10-04,11.07
Africa,,2021-10-05,11.11
Africa,,2021-10-06,11.16
Africa,,2021-10-07,11.3
Africa,,2021-10-08,11.64
Africa,,2021-10-09,11.74
Africa,,2021-10-10,11.76
Africa,,2021-10-11,11.8
Africa,,2021-10-12,11.82
Africa,,2021-10-13,12
Africa,,2021-10-14,12.15
Africa,,2021-10-15,12.25
Africa,,2021-10-16,12.26
Africa,,2021-10-17,12.58
Africa,,2021-10-18,12.69
Africa,,2021-10-19,12.77
Africa,,2021-10-20,12.84
Africa,,2021-10-21,13
Africa,,2021-10-22,13.04
Africa,,2021-10-23,13.27
Africa,,2021-10-24,13.45
Africa,,2021-10-25,13.48
Africa,,2021-10-26,13.6
Africa,,2021-10-27,13.63
Africa,,2021-10-28,13.82
Africa,,2021-10-29,14.07
Africa,,2021-10-30,14.15
Africa,,2021-10-31,14.31
Africa,,2021-11-01,14.4
Africa,,2021-11-02,14.5
Africa,,2021-11-03,14.54
Africa,,2021-11-04,14.73
Africa,,2021-11-05,14.75
Africa,,2021-11-06,14.9
Africa,,2021-11-07,14.96
Africa,,2021-11-08,15
Africa,,2021-11-09,15.03
Africa,,2021-11-10,15.45
Africa,,2021-11-11,15.54
Africa,,2021-11-12,15.57
Africa,,2021-11-13,15.69
Africa,,2021-11-14,15.76
Africa,,2021-11-15,15.85
Africa,,2021-11-16,15.87
Africa,,2021-11-17,15.92
Africa,,2021-11-18,16.14
Africa,,2021-11-19,16.16
Africa,,2021-11-20,16.34
Africa,,2021-11-21,16.47
Africa,,2021-11-22,16.58
Africa,,2021-11-23,16.65
Africa,,2021-11-24,16.85
Africa,,2021-11-25,16.92
Africa,,2021-11-26,17.01
Africa,,2021-11-27,17.05
Africa,,2021-11-28,17.32
Africa,,2021-11-29,17.47
Africa,,2021-11-30,17.56
Africa,,2021-12-01,17.6
Africa,,2021-12-02,17.78
Africa,,2021-12-03,17.9
Africa,,2021-12-04,18.12
Africa,,2021-12-05,18.19
Africa,,2021-12-06,18.34
Africa,,2021-12-07,18.38
Africa,,2021-12-08,18.55
Africa,,2021-12-09,18.9
Africa,,2021-12-10,18.95
Africa,,2021-12-11,19.14
Africa,,2021-12-12,19.25
Africa,,2021-12-13,19.32
Africa,,2021-12-14,19.49
Africa,,2021-12-15,19.67
Africa,,2021-12-16,19.72
Africa,,2021-12-17,19.75
Africa,,2021-12-18,19.91
Africa,,2021-12-19,19.95
Africa,,2021-12-20,20.35
Africa,,2021-12-21,20.39
Africa,,2021-12-22,20.51
Africa,,2021-12-23,20.84
Africa,,2021-12-24,21.02
Africa,,2021-12-25,21.03
Africa,,2021-12-26,21.15
Africa,,2021-12-27,21.23
Africa,,2021-12-28,21.73
Africa,,2021-12-29,21.77
Africa,,2021-12-30,21.85
Africa,,2021-12-31,22.1
Africa,,2022-01-01,22.15
Africa,,2022-01-02,22.21
Africa,,2022-01-03,22.24
Africa,,2022-01-04,22.64
Africa,,2022-01-05,22.68
Africa,,2022-01-06,22.97
Africa,,2022-01-07,23.02
Africa,,2022-01-08,23.15
Africa,,2022-01-09,23.29
Africa,,2022-01-10,23.53
Africa,,2022-01-11,23.55
Africa,,2022-01-12,23.62
Africa,,2022-01-13,23.73
Africa,,2022-01-14,23.82
Africa,,2022-01-15,24.01
Africa,,2022-01-16,24.09
Africa,,2022-01-17,24.19
Africa,,2022-01-18,24.31
Africa,,2022-01-19,24.32
Africa,,2022-01-20,24.34
Africa,,2022-01-21,24.59
Africa,,2022-01-22,24.6
Albania,ALB,2021-01-10,0
Albania,ALB,2021-01-12,0
Albania,ALB,2021-01-13,0.01
Albania,ALB,2021-01-14,0.01
Albania,ALB,2021-01-15,0.01
Albania,ALB,2021-01-16,0.01
Albania,ALB,2021-01-17,0.01
Albania,ALB,2021-01-18,0.02
Albania,ALB,2021-01-19,0.02
Albania,ALB,2021-01-20,0.02
Albania,ALB,2021-01-21,0.02
Albania,ALB,2021-02-02,0.02
Albania,ALB,2021-02-09,0.04
Albania,ALB,2021-02-17,0.06
Albania,ALB,2021-02-18,0.11
Albania,ALB,2021-02-19,0.15
Albania,ALB,2021-02-22,0.23
Albania,ALB,2021-02-25,0.35
Albania,ALB,2021-03-01,0.5
Albania,ALB,2021-03-03,0.55
Albania,ALB,2021-03-10,0.75
Albania,ALB,2021-03-12,0.82
Albania,ALB,2021-03-17,1.16
Albania,ALB,2021-03-22,1.68
Albania,ALB,2021-03-23,1.8
Albania,ALB,2021-03-24,1.88
Albania,ALB,2021-03-25,2.07
Albania,ALB,2021-03-26,2.17
Albania,ALB,2021-03-27,2.23
Albania,ALB,2021-03-28,2.71
Albania,ALB,2021-03-30,4.15
Albania,ALB,2021-03-31,4.83
Albania,ALB,2021-04-01,5.41
Albania,ALB,2021-04-02,6
Albania,ALB,2021-04-03,6.46
Albania,ALB,2021-04-04,6.71
Albania,ALB,2021-04-05,7.2
Albania,ALB,2021-04-06,7.71
Albania,ALB,2021-04-07,8.09
Albania,ALB,2021-04-08,8.44
Albania,ALB,2021-04-09,8.73
Albania,ALB,2021-04-10,8.94
Albania,ALB,2021-04-12,9.31
Albania,ALB,2021-04-13,9.79
Albania,ALB,2021-04-15,10.6
Albania,ALB,2021-04-16,10.95
Albania,ALB,2021-04-17,11.31
Albania,ALB,2021-04-18,11.59
Albania,ALB,2021-04-19,12.04
Albania,ALB,2021-04-20,12.18
Albania,ALB,2021-04-21,12.95
Albania,ALB,2021-04-22,13.33
Albania,ALB,2021-04-23,13.62
Albania,ALB,2021-04-24,13.93
Albania,ALB,2021-04-26,14.22
Albania,ALB,2021-04-27,14.51
Albania,ALB,2021-04-28,15.09
Albania,ALB,2021-04-29,15.78
Albania,ALB,2021-04-30,16.6
Albania,ALB,2021-05-01,17.2
Albania,ALB,2021-05-03,18.01
Albania,ALB,2021-05-04,18.71
Albania,ALB,2021-05-05,19.37
Albania,ALB,2021-05-06,19.92
Albania,ALB,2021-05-07,20.39
Albania,ALB,2021-05-08,20.77
Albania,ALB,2021-05-09,20.88
Albania,ALB,2021-05-10,21.34
Albania,ALB,2021-05-11,21.67
Albania,ALB,2021-05-12,22.02
Albania,ALB,2021-05-13,22.22
Albania,ALB,2021-05-14,22.74
Albania,ALB,2021-05-17,23.67
Albania,ALB,2021-05-18,23.98
Albania,ALB,2021-05-19,24.29
Albania,ALB,2021-05-20,24.5
Albania,ALB,2021-05-21,24.67
Albania,ALB,2021-05-23,24.94
Albania,ALB,2021-05-24,25.24
Albania,ALB,2021-05-26,26.07
Albania,ALB,2021-05-27,26.42
Albania,ALB,2021-05-30,26.88
Albania,ALB,2021-05-31,27.03
Albania,ALB,2021-06-01,27.16
Albania,ALB,2021-06-03,27.4
Albania,ALB,2021-06-06,27.8
Albania,ALB,2021-06-07,27.97
Albania,ALB,2021-06-08,28.19
Albania,ALB,2021-06-09,28.42
Albania,ALB,2021-06-10,28.65
Albania,ALB,2021-06-11,28.9
Albania,ALB,2021-06-12,29.06
Albania,ALB,2021-06-13,29.11
Albania,ALB,2021-06-14,29.33
Albania,ALB,2021-06-15,29.53
Albania,ALB,2021-06-16,29.73
Albania,ALB,2021-06-17,30.03
Albania,ALB,2021-06-20,30.66
Albania,ALB,2021-06-21,30.98
Albania,ALB,2021-06-22,31.38
Albania,ALB,2021-06-23,31.77
Albania,ALB,2021-06-24,32.12
Albania,ALB,2021-06-28,32.84
Albania,ALB,2021-06-29,33.26
Albania,ALB,2021-06-30,33.69
Albania,ALB,2021-07-01,33.92
Albania,ALB,2021-07-02,34.16
Albania,ALB,2021-07-04,34.41
Albania,ALB,2021-07-05,34.6
Albania,ALB,2021-07-06,34.81
Albania,ALB,2021-07-07,35
Albania,ALB,2021-07-08,35.2
Albania,ALB,2021-07-09,35.38
Albania,ALB,2021-07-10,35.55
Albania,ALB,2021-07-11,35.6
Albania,ALB,2021-07-12,35.83
Albania,ALB,2021-07-13,36.05
Albania,ALB,2021-07-14,36.32
Albania,ALB,2021-07-15,36.62
Albania,ALB,2021-07-16,36.9
Albania,ALB,2021-07-17,37.14
Albania,ALB,2021-07-18,37.22
Albania,ALB,2021-07-20,37.68
Albania,ALB,2021-07-21,38.13
Albania,ALB,2021-07-22,38.63
Albania,ALB,2021-07-25,39.64
Albania,ALB,2021-07-29,41.06
Albania,ALB,2021-07-30,41.45
Albania,ALB,2021-07-31,41.73
Albania,ALB,2021-08-01,41.88
Albania,ALB,2021-08-02,42.21
Albania,ALB,2021-08-03,42.52
Albania,ALB,2021-08-04,42.79
Albania,ALB,2021-08-05,43.09
Albania,ALB,2021-08-08,43.86
Albania,ALB,2021-08-10,44.56
Albania,ALB,2021-08-13,45.6
Albania,ALB,2021-08-15,45.99
Albania,ALB,2021-08-16,46.32
Albania,ALB,2021-08-17,46.65
Albania,ALB,2021-08-19,47.28
Albania,ALB,2021-08-21,47.8
Albania,ALB,2021-08-22,47.92
Albania,ALB,2021-08-23,48.27
Albania,ALB,2021-08-24,48.61
Albania,ALB,2021-08-25,48.93
Albania,ALB,2021-08-26,49.28
Albania,ALB,2021-08-27,49.7
Albania,ALB,2021-08-29,50.29
Albania,ALB,2021-08-30,50.75
Albania,ALB,2021-08-31,51.25
Albania,ALB,2021-09-01,51.7
Albania,ALB,2021-09-02,52.21
Albania,ALB,2021-09-06,53.58
Albania,ALB,2021-09-07,54.08
Albania,ALB,2021-09-08,54.55
Albania,ALB,2021-09-09,54.98
Albania,ALB,2021-09-10,55.33
Albania,ALB,2021-09-11,55.63
Albania,ALB,2021-09-12,55.75
Albania,ALB,2021-09-13,56.05
Albania,ALB,2021-09-14,56.32
Albania,ALB,2021-09-15,56.58
Albania,ALB,2021-09-16,56.84
Albania,ALB,2021-09-17,57.09
Albania,ALB,2021-09-19,57.43
Albania,ALB,2021-09-20,57.7
Albania,ALB,2021-09-21,57.98
Albania,ALB,2021-09-22,58.27
Albania,ALB,2021-09-23,58.6
Albania,ALB,2021-09-24,58.95
Albania,ALB,2021-09-27,59.7
Albania,ALB,2021-09-28,60.01
Albania,ALB,2021-09-29,60.31
Albania,ALB,2021-09-30,60.61
Albania,ALB,2021-10-01,60.88
Albania,ALB,2021-10-02,61.12
Albania,ALB,2021-10-04,61.43
Albania,ALB,2021-10-05,61.66
Albania,ALB,2021-10-06,61.89
Albania,ALB,2021-10-07,62.1
Albania,ALB,2021-10-08,62.29
Albania,ALB,2021-10-09,62.49
Albania,ALB,2021-10-11,62.79
Albania,ALB,2021-10-12,63.02
Albania,ALB,2021-10-13,63.23
Albania,ALB,2021-10-17,63.94
Albania,ALB,2021-10-18,64.14
Albania,ALB,2021-10-19,64.35
Albania,ALB,2021-10-20,64.55
Albania,ALB,2021-10-21,64.75
Albania,ALB,2021-10-22,64.95
Albania,ALB,2021-10-24,65.23
Albania,ALB,2021-10-25,65.42
Albania,ALB,2021-10-27,65.82
Albania,ALB,2021-10-28,66.02
Albania,ALB,2021-10-29,66.2
Albania,ALB,2021-11-01,66.48
Albania,ALB,2021-11-03,67.06
Albania,ALB,2021-11-06,67.69
Albania,ALB,2021-11-07,67.78
Albania,ALB,2021-11-09,68.34
Albania,ALB,2021-11-10,68.64
Albania,ALB,2021-11-11,68.93
Albania,ALB,2021-11-14,69.62
Albania,ALB,2021-11-16,70.21
Albania,ALB,2021-11-17,70.5
Albania,ALB,2021-11-18,70.79
Albania,ALB,2021-11-21,71.37
Albania,ALB,2021-11-24,72.21
Albania,ALB,2021-11-25,72.46
Albania,ALB,2021-11-28,72.99
Albania,ALB,2021-11-30,73.13
Albania,ALB,2021-12-01,73.51
Albania,ALB,2021-12-03,74.17
Albania,ALB,2021-12-05,74.55
Albania,ALB,2021-12-06,74.87
Albania,ALB,2021-12-07,75.23
Albania,ALB,2021-12-08,75.4
Albania,ALB,2021-12-12,76.44
Albania,ALB,2021-12-13,76.79
Albania,ALB,2021-12-14,77.15
Albania,ALB,2021-12-15,77.49
Albania,ALB,2021-12-18,78.35
Albania,ALB,2021-12-21,79.03
Albania,ALB,2021-12-23,79.58
Albania,ALB,2021-12-28,80.64
Albania,ALB,2022-01-04,82.02
Albania,ALB,2022-01-05,82.41
Albania,ALB,2022-01-08,83.48
Albania,ALB,2022-01-10,83.91
Albania,ALB,2022-01-11,84.23
Albania,ALB,2022-01-13,87.38
Algeria,DZA,2021-01-29,0
Algeria,DZA,2021-01-30,0
Algeria,DZA,2021-02-19,0.17
Algeria,DZA,2021-08-20,9.29
Algeria,DZA,2021-09-04,17.93
Algeria,DZA,2021-09-12,22.39
Algeria,DZA,2021-09-25,22.53
Algeria,DZA,2021-10-24,24.84
Algeria,DZA,2021-10-27,24.99
Algeria,DZA,2021-10-30,25.06
Algeria,DZA,2021-11-02,25.26
Algeria,DZA,2021-11-08,25.36
Algeria,DZA,2021-11-13,25.5
Algeria,DZA,2021-11-21,26.92
Algeria,DZA,2021-11-22,26.97
Algeria,DZA,2021-11-25,27.07
Algeria,DZA,2021-11-29,27.22
Algeria,DZA,2021-11-30,27.55
Algeria,DZA,2021-12-14,27.88
Algeria,DZA,2021-12-21,28.12
Algeria,DZA,2022-01-09,29.08
Andorra,AND,2021-01-25,0.74
Andorra,AND,2021-02-01,1.34
Andorra,AND,2021-02-10,1.67
Andorra,AND,2021-02-12,2.1
Andorra,AND,2021-02-19,2.77
Andorra,AND,2021-02-24,3.09
Andorra,AND,2021-02-26,3.27
Andorra,AND,2021-03-08,4.67
Andorra,AND,2021-03-10,6.35
Andorra,AND,2021-03-15,10.81
Andorra,AND,2021-03-19,12.01
Andorra,AND,2021-04-04,16.08
Andorra,AND,2021-04-05,19.74
Andorra,AND,2021-04-11,22.09
Andorra,AND,2021-04-12,24.65
Andorra,AND,2021-04-19,34.15
Andorra,AND,2021-04-26,36.85
Andorra,AND,2021-05-03,37.34
Andorra,AND,2021-05-10,40.89
Andorra,AND,2021-05-17,41.78
Andorra,AND,2021-05-31,46.43
Andorra,AND,2021-06-07,53.61
Andorra,AND,2021-06-14,66.07
Andorra,AND,2021-06-21,81.79
Andorra,AND,2021-06-28,88.33
Andorra,AND,2021-07-12,90.52
Andorra,AND,2021-07-19,106.46
Andorra,AND,2021-08-01,111.59
Andorra,AND,2021-08-15,118.49
Andorra,AND,2021-08-29,124
Andorra,AND,2021-09-26,131.9
Andorra,AND,2021-10-03,132.76
Andorra,AND,2021-10-31,135.14
Andorra,AND,2021-12-05,137.59
Andorra,AND,2021-12-12,149.58
Andorra,AND,2021-12-26,151.57
Angola,AGO,2021-03-01,0
Angola,AGO,2021-03-08,0.02
Angola,AGO,2021-03-18,0.14
Angola,AGO,2021-03-24,0.26
Angola,AGO,2021-03-29,0.39
Angola,AGO,2021-04-06,0.54
Angola,AGO,2021-04-11,0.72
Angola,AGO,2021-04-19,1.17
Angola,AGO,2021-04-23,1.34
Angola,AGO,2021-05-12,1.85
Angola,AGO,2021-05-18,2.01
Angola,AGO,2021-05-21,2.23
Angola,AGO,2021-05-26,2.53
Angola,AGO,2021-05-31,2.68
Angola,AGO,2021-06-08,3.29
Angola,AGO,2021-06-10,3.6
Angola,AGO,2021-06-15,3.87
Angola,AGO,2021-06-20,4.07
Angola,AGO,2021-06-24,4.22
Angola,AGO,2021-06-28,4.39
Angola,AGO,2021-07-05,4.46
Angola,AGO,2021-07-12,4.59
Angola,AGO,2021-07-19,4.69
Angola,AGO,2021-08-03,4.95
Angola,AGO,2021-08-09,5
Angola,AGO,2021-08-16,5.09
Angola,AGO,2021-08-20,5.17
Angola,AGO,2021-08-25,5.43
Angola,AGO,2021-09-01,6.15
Angola,AGO,2021-09-11,7.28
Angola,AGO,2021-09-19,8.31
Angola,AGO,2021-09-26,9.24
Angola,AGO,2021-10-08,12.01
Angola,AGO,2021-10-14,13.11
Angola,AGO,2021-10-18,15.4
Angola,AGO,2021-10-20,16.68
Angola,AGO,2021-10-24,17.51
Angola,AGO,2021-10-26,18.17
Angola,AGO,2021-11-02,19.59
Angola,AGO,2021-11-07,21.36
Angola,AGO,2021-11-11,23.01
Angola,AGO,2021-11-18,24.26
Angola,AGO,2021-11-21,25.93
Angola,AGO,2021-11-24,26.6
Angola,AGO,2021-12-02,29.02
Angola,AGO,2021-12-06,29.52
Angola,AGO,2021-12-09,30.41
Angola,AGO,2021-12-15,31.84
Angola,AGO,2021-12-23,32.9
Angola,AGO,2021-12-30,34.23
Angola,AGO,2022-01-06,34.77
Angola,AGO,2022-01-08,35.66
Angola,AGO,2022-01-12,36.47
Angola,AGO,2022-01-14,37.4
Anguilla,AIA,2021-02-04,0
Anguilla,AIA,2021-02-13,8.87
Anguilla,AIA,2021-02-14,18.26
Anguilla,AIA,2021-02-26,25.98
Anguilla,AIA,2021-03-09,31.07
Anguilla,AIA,2021-03-13,33.06
Anguilla,AIA,2021-03-19,35.36
Anguilla,AIA,2021-04-12,38.58
Anguilla,AIA,2021-04-22,45.61
Anguilla,AIA,2021-05-17,87.5
Anguilla,AIA,2021-05-28,95.49
Anguilla,AIA,2021-06-04,96.24
Anguilla,AIA,2021-06-11,98.76
Anguilla,AIA,2021-06-18,100.48
Anguilla,AIA,2021-06-25,104.39
Anguilla,AIA,2021-07-02,108.83
Anguilla,AIA,2021-07-09,112.07
Anguilla,AIA,2021-07-16,117.73
Anguilla,AIA,2021-07-23,119.01
Anguilla,AIA,2021-07-30,120.28
Anguilla,AIA,2021-08-06,122.03
Anguilla,AIA,2021-08-20,122.04
Anguilla,AIA,2021-09-03,122.12
Anguilla,AIA,2021-09-10,122.19
Anguilla,AIA,2021-09-17,122.74
Anguilla,AIA,2021-09-24,122.87
Anguilla,AIA,2021-10-01,123.66
Anguilla,AIA,2021-10-15,123.67
Anguilla,AIA,2021-11-05,123.68
Anguilla,AIA,2021-11-12,124.18
Anguilla,AIA,2021-11-19,126.06
Anguilla,AIA,2021-11-29,130.45
Anguilla,AIA,2021-12-01,131.66
Anguilla,AIA,2021-12-08,134.11
Anguilla,AIA,2022-01-14,139.15
Anguilla,AIA,2022-01-21,140.54
Antigua and Barbuda,ATG,2021-02-16,0
Antigua and Barbuda,ATG,2021-03-15,24.48
